nohup: ignoring input
Device: cuda
Loading note model from /workspace/scripts/../models/pretrained/CRNN_note_F1=0.9677_pedal_F1=0.9186.pth
Building datasets...
Train segments: 57200, Val segments: 7342
Starting training (max_steps=70000, starting_step=0)
[step 1340/70000] loss=0.5898 lr=1.0e-05 (0.81s/step, ~15h31m left)
[step 1350/70000] loss=0.6142 lr=1.0e-05 (0.81s/step, ~15h32m left)
[step 1360/70000] loss=0.6058 lr=1.0e-05 (0.82s/step, ~15h34m left)
[step 1370/70000] loss=0.6125 lr=1.0e-05 (0.81s/step, ~15h31m left)
[step 1380/70000] loss=0.5944 lr=1.0e-05 (0.81s/step, ~15h29m left)
[step 1390/70000] loss=0.5804 lr=1.0e-05 (0.82s/step, ~15h33m left)
[step 1400/70000] loss=0.5945 lr=1.0e-05 (0.82s/step, ~15h35m left)
[step 1410/70000] loss=0.6196 lr=1.0e-05 (0.81s/step, ~15h29m left)
[step 1420/70000] loss=0.5996 lr=1.0e-05 (0.81s/step, ~15h31m left)
[step 1430/70000] loss=0.5864 lr=1.0e-05 (0.82s/step, ~15h32m left)
[step 1440/70000] loss=0.5819 lr=1.0e-05 (0.81s/step, ~15h28m left)
[step 1450/70000] loss=0.5963 lr=1.0e-05 (0.81s/step, ~15h28m left)
[step 1460/70000] loss=0.5947 lr=1.0e-05 (0.81s/step, ~15h26m left)
[step 1470/70000] loss=0.6093 lr=1.0e-05 (0.82s/step, ~15h33m left)
[step 1480/70000] loss=0.6249 lr=1.0e-05 (0.82s/step, ~15h31m left)
[step 1490/70000] loss=0.5872 lr=1.0e-05 (0.81s/step, ~15h29m left)
[step 1500/70000] loss=0.5844 lr=1.0e-05 (0.81s/step, ~15h28m left)
[step 1510/70000] loss=0.5858 lr=1.0e-05 (0.81s/step, ~15h29m left)
[step 1520/70000] loss=0.5944 lr=1.0e-05 (0.81s/step, ~15h27m left)
[step 1530/70000] loss=0.6133 lr=1.0e-05 (0.82s/step, ~15h32m left)
[step 1540/70000] loss=0.6134 lr=1.0e-05 (0.81s/step, ~15h29m left)
[step 1550/70000] loss=0.5903 lr=1.0e-05 (0.82s/step, ~15h39m left)
[step 1560/70000] loss=0.6194 lr=1.0e-05 (0.81s/step, ~15h28m left)
[step 1570/70000] loss=0.5997 lr=1.0e-05 (0.81s/step, ~15h28m left)
[step 1580/70000] loss=0.5891 lr=1.0e-05 (0.81s/step, ~15h27m left)
[step 1590/70000] loss=0.6096 lr=1.0e-05 (0.81s/step, ~15h28m left)
[step 1600/70000] loss=0.5757 lr=1.0e-05 (0.81s/step, ~15h26m left)
[step 1610/70000] loss=0.6011 lr=1.0e-05 (0.82s/step, ~15h29m left)
[step 1620/70000] loss=0.5967 lr=1.0e-05 (0.82s/step, ~15h30m left)
[step 1630/70000] loss=0.5941 lr=1.0e-05 (0.82s/step, ~15h31m left)
[step 1640/70000] loss=0.6020 lr=1.0e-05 (0.82s/step, ~15h29m left)
[step 1650/70000] loss=0.5810 lr=1.0e-05 (0.81s/step, ~15h25m left)
[step 1660/70000] loss=0.5888 lr=1.0e-05 (0.81s/step, ~15h23m left)
[step 1670/70000] loss=0.6007 lr=1.0e-05 (0.81s/step, ~15h26m left)
[step 1680/70000] loss=0.5999 lr=1.0e-05 (0.82s/step, ~15h28m left)
[step 1690/70000] loss=0.5853 lr=1.0e-05 (0.82s/step, ~15h33m left)
[step 1700/70000] loss=0.5871 lr=1.0e-05 (0.82s/step, ~15h30m left)
[step 1710/70000] loss=0.5993 lr=1.0e-05 (0.82s/step, ~15h30m left)
[step 1720/70000] loss=0.5869 lr=1.0e-05 (0.81s/step, ~15h26m left)
[step 1730/70000] loss=0.5923 lr=1.0e-05 (0.82s/step, ~15h27m left)
[step 1740/70000] loss=0.5789 lr=1.0e-05 (0.82s/step, ~15h35m left)
[step 1750/70000] loss=0.5840 lr=1.0e-05 (0.82s/step, ~15h28m left)
[step 1760/70000] loss=0.6126 lr=1.0e-05 (0.81s/step, ~15h23m left)
[step 1770/70000] loss=0.5919 lr=1.0e-05 (0.81s/step, ~15h19m left)
[step 1780/70000] loss=0.5966 lr=1.0e-05 (0.81s/step, ~15h21m left)
[step 1790/70000] loss=0.5829 lr=1.0e-05 (0.81s/step, ~15h21m left)
